date,symbol,close_hkd,change_pct,volume,turnover_hkd,source,source_date,fetched_at
2026-05-08,1024.HK,52.950,,176026526,,Yahoo Finance chart API,2026-05-08,2026-05-14T06:04:55-07:00
2026-05-11,1024.HK,51.600,-2.55,116359467,,Yahoo Finance chart API,2026-05-11,2026-05-14T06:04:55-07:00
2026-05-12,1024.HK,52.600,1.94,151743764,,Yahoo Finance chart API,2026-05-12,2026-05-14T06:04:55-07:00
2026-05-13,1024.HK,51.600,-1.90,69261813,,Yahoo Finance chart API,2026-05-13,2026-05-14T06:04:55-07:00
2026-05-14,1024.HK,50.850,-1.45,61208264,,Yahoo Finance chart API,2026-05-14,2026-05-14T06:04:55-07:00
2026-05-15,1024.HK,49.340,-2.97,50533425,,Yahoo Finance chart API,2026-05-15,2026-05-15T20:21:38-07:00
2026-05-18,1024.HK,48.680,-1.34,32952327,,Yahoo Finance chart API,2026-05-18,2026-05-18T05:08:14-07:00
2026-05-19,1024.HK,48.880,0.41,31827580,,Yahoo Finance chart API,2026-05-19,2026-05-19T05:57:28-07:00
2026-05-20,1024.HK,47.680,-2.45,40504418,,Yahoo Finance chart API,2026-05-20,2026-05-20T06:08:45-07:00
2026-05-21,1024.HK,44.980,-5.66,70062100,,Yahoo Finance chart API,2026-05-21,2026-05-21T07:39:14-07:00
2026-05-22,1024.HK,45.640,1.47,32412208,,Yahoo Finance chart API,2026-05-22,2026-05-23T20:38:07-07:00
